category,total_orders,items_sold,total_revenue,avg_item_price,total_freight,avg_freight_pct
health_beauty,8836,9670,1258681.34,130.16,182566.73,30.21
watches_gifts,5624,5991,1205005.68,201.14,100535.93,17.06
bed_bath_table,9417,11115,1036988.68,93.3,204693.04,28.43
sports_leisure,7720,8641,988048.97,114.34,168607.51,29.39
computers_accessories,6689,7827,911954.32,116.51,147318.08,29.44
furniture_decor,6449,8334,729762.49,87.56,172749.3,34.67
cool_stuff,3632,3796,635290.85,167.36,84039.1,22.03
housewares,5884,6964,632248.66,90.79,146149.11,40.27
auto,3897,4235,592720.11,139.96,92664.21,33.17
garden_tools,3518,4347,485256.46,111.63,98962.75,33.2
toys,3886,4117,483946.6,117.55,77425.95,26.5
baby,2885,3065,411764.89,134.34,68353.11,29.32
perfumery,3162,3419,399124.87,116.74,54213.84,27.26
telephony,4199,4545,323667.53,71.21,71215.79,50.59
office_furniture,1273,1691,273960.7,162.01,68571.95,27.49
stationery,2311,2517,230943.23,91.75,46798.48,32.37
computers,181,203,222963.13,1098.34,9836.3,5.66
pet_shop,1710,1947,214315.41,110.07,39561.24,29.61
musical_instruments,628,680,191498.88,281.62,18638.49,25.31
small_appliances,630,679,190648.58,280.78,16020.25,25.31
unkown,1473,1627,185049.76,113.74,28613.14,33.6
electronics,2550,2767,160246.74,57.91,46578.32,68.35
consoles_games,1062,1137,157465.22,138.49,19828.02,37.72
fashion_bags_accessories,1864,2031,152823.54,75.25,31450.0,34.0
construction_tools_construction,748,929,144677.59,155.73,20650.41,36.76
luggage_accessories,1034,1092,140429.98,128.6,30445.23,26.08
home_appliances_2,234,238,113317.74,476.12,10600.18,19.93
home_construction,490,604,83088.12,137.56,13832.24,26.74
home_appliances,764,771,80171.53,103.98,14818.9,39.68
agro_industry_and_commerce,182,212,72530.47,342.12,5843.6,27.42
furniture_living_room,422,503,68916.56,137.01,17968.17,32.56
fixed_telephony,217,264,59583.0,225.69,4637.81,38.62
home_confort,397,434,58572.04,134.96,8501.23,21.12
air_conditioning,253,297,55024.96,185.27,6749.23,21.13
audio,350,364,50688.5,139.25,5710.44,33.12
small_appliances_home_oven_and_coffee,75,76,47445.71,624.29,2747.86,16.43
books_general_interest,512,553,46856.88,84.73,9195.52,36.04
kitchen_dining_laundry_garden_furniture,248,281,46328.37,164.87,11999.43,35.85
construction_tools_lights,244,304,41080.0,135.13,7583.8,25.6
construction_tools_safety,167,194,40544.52,208.99,3919.1,24.17
industry_commerce_and_business,235,268,39669.61,148.02,7884.68,28.71
food,450,510,29393.41,57.63,7271.03,34.81
market_place,280,311,28378.47,91.25,5456.06,32.19
costruction_tools_garden,194,238,25715.89,108.05,5311.4,42.54
art,202,209,24202.64,115.8,4045.17,29.93
fashion_shoes,240,262,23562.77,89.93,4918.87,28.95
drinks,297,379,22428.7,59.18,5741.25,42.75
signaling_and_security,140,199,21509.23,108.09,6507.82,54.62
furniture_bedroom,95,109,20028.78,183.75,4632.23,33.37
books_technical,260,267,19096.06,71.52,4283.06,34.87
costruction_tools_tools,97,103,15903.95,154.41,2030.22,37.42
food_drink,227,278,15179.48,54.6,4507.99,49.83
fashion_male_clothing,112,132,10797.82,81.8,2152.41,26.7
fashion_underwear_beach,121,131,9541.55,72.84,1916.19,56.55
christmas_supplies,128,153,8800.82,57.52,3229.3,67.57
tablets_printing_image,79,83,7528.41,90.7,1226.2,22.26
cine_photo,65,72,6933.46,96.3,1256.2,38.14
music,38,38,6034.35,158.8,690.51,42.45
dvds_blu_ray,59,64,5999.39,93.74,1288.74,83.3
books_imported,53,60,4639.85,77.33,769.85,24.18
party_supplies,39,43,4485.18,104.31,827.97,36.85
furniture_mattress_and_upholstery,38,38,4368.08,114.95,1630.46,48.88
fashio_female_clothing,39,48,2803.64,58.41,621.75,28.57
fashion_sport,27,30,2119.51,70.65,578.13,32.2
la_cuisine,13,14,2054.99,146.78,333.55,18.6
arts_and_craftmanship,23,24,1814.01,75.58,370.13,38.11
diapers_and_hygiene,27,39,1567.59,40.19,573.68,41.47
flowers,29,33,1110.04,33.64,488.87,56.5
home_comfort_2,24,30,760.27,25.34,410.31,93.39
cds_dvds_musicals,12,14,730.0,52.14,224.99,31.2
fashion_childrens_clothes,8,8,569.85,71.23,95.51,19.88
security_and_services,2,2,283.29,141.64,41.22,14.75
