customer_state,total_orders,unique_customers,total_revenue,avg_order_value,revenue_per_customer
SP,40500,39155,5770266.19,142.48,147.37
RJ,12350,11917,2055690.45,166.45,172.5
MG,11354,11001,1819277.61,160.23,165.37
RS,5345,5168,861802.4,161.24,166.76
PR,4923,4769,781919.55,158.83,163.96
SC,3546,3449,595208.4,167.85,172.57
BA,3256,3158,591270.6,181.59,187.23
DF,2080,2019,346146.17,166.42,171.44
GO,1957,1895,334294.22,170.82,176.41
ES,1995,1928,317682.65,159.24,164.77
PE,1593,1551,309074.59,194.02,199.27
CE,1279,1258,266463.97,208.34,211.82
PA,946,922,212027.55,224.13,229.96
MT,886,856,181441.72,204.79,211.96
MA,717,700,147807.29,206.15,211.15
PB,517,504,137834.65,266.6,273.48
MS,701,681,134421.54,191.76,197.39
PI,476,464,105272.17,221.16,226.88
RN,474,464,100728.3,212.51,217.09
AL,397,387,94195.79,237.27,243.4
SE,335,329,70289.13,209.82,213.64
TO,274,267,60007.37,219.0,224.75
RO,243,231,56975.7,234.47,246.65
AM,145,140,27596.18,190.32,197.12
AC,80,76,19586.25,244.83,257.71
AP,67,66,16141.81,240.92,244.57
RR,41,40,9039.52,220.48,225.99
